"Object Designation  ","Year Range  ","Potential Impacts  ","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"29075 (1950 DA)","2880-2880","1","1.2e-4","14.10","17.6","1.300","-1.42","-1.42","","a0029075"
"101955 Bennu (1999 RQ36)","2175-2199","78","3.7e-4","5.99","20.2","0.490","-1.69","-2.30","","a0101955"
"(1979 XB)","2056-2113","2","7.4e-7","23.92","18.5","0.662","-2.79","-3.08","0","bJ79X00B"
"(2000 SG344)","2069-2113","101","2.6e-3","1.36","24.8","0.037","-2.84","-3.20","0","bK00SY4G"
"(2009 JF1)","2022-2022","1","2.6e-4","23.92","27.1","0.013","-2.88","-2.88","0","bK09J01F"
"(2007 FT3)","2024-2116","164","1.4e-6","17.06","20.0","0.340","-2.95","-3.46","0","bK07F03T"
"(2008 JL3)","2027-2119","27","1.6e-4","8.42","25.3","0.029","-3.23","-3.24","0","bK08J03L"
"(2021 EU)","2024-2056","3","4.6e-5","21.46","25.4","0.028","-3.28","-3.31","0","bK21E00U"
"(2010 RF12)","2095-2119","59","4.7e-2","5.10","28.4","0.007","-3.31","-3.32","0","bK10R12F"
"(2005 QK76)","2030-2107","9","6.8e-5","19.67","25.2","0.031","-3.41","-3.55","0","bK05Q76K"
"(2005 ED224)","2023-2064","5","2.6e-6","24.96","24.0","0.054","-3.45","-3.46","0","bK05EM4D"
"(2014 MR26)","2036-2073","12","2.5e-8","26.98","17.8","0.916","-3.49","-3.80","0","bK14M26R"
"(2001 CA21)","2025-2073","3","9.3e-9","30.70","18.5","0.677","-3.52","-3.53","0","bK01C21A"
"(2016 NL56)","2023-2118","259","7.2e-7","15.23","20.6","0.265","-3.56","-4.25","0","bK16N56L"
"(1994 GK)","2051-2067","5","6.9e-5","14.87","24.2","0.048","-3.62","-3.63","0","bJ94G00K"
"(2001 VB)","2023-2023","1","2.4e-9","35.02","18.3","0.730","-3.63","-3.63","0","bK01V00B"
"(2008 UB7)","2048-2100","31","3.5e-5","18.51","23.8","0.058","-3.68","-4.29","0","bK08U07B"
"(2000 SB45)","2074-2113","101","1.6e-4","7.53","24.3","0.046","-3.75","-4.21","0","bK00S45B"
"(2012 HG2)","2052-2119","469","2.8e-3","3.33","27.0","0.014","-3.75","-4.25","0","bK12H02G"
"(2012 QD8)","2042-2105","4","6.5e-6","20.76","23.1","0.081","-3.75","-3.88","0","bK12Q08D"
"(2016 WN55)","2026-2114","76","1.1e-7","15.41","19.4","0.452","-3.77","-4.46","0","bK16W55N"
"(2007 DX40)","2030-2111","41","6.2e-5","15.53","24.6","0.040","-3.80","-4.22","0","bK07D40X"
"(2020 VW)","2074-2087","15","7.0e-3","9.69","28.3","0.007","-3.84","-4.12","0","bK20V00W"
"(2020 FA5)","2043-2119","81","6.7e-7","28.26","21.0","0.212","-3.85","-4.52","0","bK20F05A"
"(2008 EX5)","2061-2090","16","4.7e-5","9.92","23.8","0.059","-3.86","-4.13","0","bK08E05X"
"(2017 WT28)","2083-2119","72","1.1e-2","4.47","28.1","0.008","-3.86","-3.88","0","bK17W28T"
"(2020 VV)","2044-2120","151","2.3e-3","2.57","27.3","0.012","-3.88","-4.36","0","bK20V00V"
"(2013 VW13)","2071-2084","9","4.3e-4","16.35","26.2","0.019","-3.89","-4.06","0","bK13V13W"
"(2009 BE)","2061-2117","24","4.3e-4","11.46","26.1","0.020","-4.00","-4.30","0","bK09B00E"
"(2006 JY26)","2073-2109","39","7.0e-3","2.98","28.4","0.007","-4.04","-4.04","0","bK06J26Y"
"(2008 CC71)","2034-2082","20","5.9e-5","8.07","24.9","0.036","-4.07","-4.43","0","bK08C71C"
"(2017 SH33)","2026-2093","21","2.3e-8","25.22","19.2","0.490","-4.09","-4.44","0","bK17S33H"
"(2020 TJ3)","2067-2120","29","7.2e-5","8.21","24.6","0.041","-4.11","-4.61","0","bK20T03J"
"(2015 YJ)","2042-2115","54","1.6e-3","16.35","28.3","0.007","-4.12","-4.35","0","bK15Y00J"
"(2014 GN1)","2061-2061","1","2.1e-5","21.23","24.6","0.041","-4.13","-4.13","0","bK14G01N"
"(2020 KD3)","2083-2107","18","6.0e-4","7.93","26.4","0.017","-4.13","-4.14","0","bK20K03D"
"(2006 DM63)","2031-2116","39","1.4e-4","10.37","26.7","0.015","-4.14","-4.42","0","bK06D63M"
"(2011 DU9)","2046-2059","4","2.8e-4","8.77","26.7","0.016","-4.15","-4.15","0","bK11D09U"
"(2017 LD)","2053-2120","204","2.2e-3","4.49","27.5","0.011","-4.18","-4.74","0","bK17L00D"
"(2010 CR5)","2062-2075","3","7.5e-8","23.68","19.8","0.371","-4.20","-4.23","0","bK10C05R"
"(2020 MJ)","2086-2109","29","9.5e-5","17.05","25.3","0.030","-4.20","-4.42","0","bK20M00J"
"(2021 AM6)","2064-2120","30","5.2e-4","5.21","26.6","0.016","-4.21","-4.55","0","bK21A06M"
"(2010 GM23)","2087-2116","30","6.3e-5","13.44","24.7","0.040","-4.22","-4.87","0","bK10G23M"
"(2013 TP4)","2026-2026","1","4.9e-5","25.30","27.5","0.011","-4.23","-4.23","0","bK13T04P"
"(2016 WG)","2076-2115","24","5.8e-6","23.60","23.3","0.075","-4.23","-4.93","0","bK16W00G"
"(2008 HJ)","2077-2112","25","2.6e-4","7.53","25.8","0.024","-4.27","-4.73","0","bK08H00J"
"(2017 RZ17)","2022-2116","44","2.5e-8","19.20","19.8","0.369","-4.28","-4.62","0","bK17R17Z"
"(2019 LW4)","2083-2115","38","1.0e-3","8.62","27.3","0.012","-4.28","-4.31","0","bK19L04W"
"(2014 JU15)","2079-2114","86","5.6e-5","10.35","24.7","0.039","-4.30","-5.20","0","bK14J15U"
"(2002 RB182)","2053-2116","26","6.1e-6","13.26","22.8","0.092","-4.31","-5.02","0","bK02RI2B"
"(2007 KO4)","2022-2116","315","4.3e-6","13.71","23.3","0.075","-4.32","-5.13","0","bK07K04O"
"(2010 UK)","2068-2116","43","5.2e-4","6.08","26.9","0.014","-4.34","-4.35","0","bK10U00K"
"(2007 KE4)","2026-2115","4","1.4e-5","10.07","25.2","0.031","-4.36","-4.39","0","bK07K04E"
"(2019 LU1)","2056-2070","8","4.4e-6","31.85","24.3","0.048","-4.36","-4.42","0","bK19L01U"
"(2020 TY4)","2099-2099","2","2.9e-5","8.37","24.0","0.054","-4.36","-4.36","0","bK20T04Y"
"(2020 CQ1)","2070-2119","11","4.6e-3","4.90","28.8","0.006","-4.37","-4.38","0","bK20C01Q"
"(2008 ST7)","2074-2112","21","2.7e-5","9.97","24.1","0.052","-4.39","-4.81","0","bK08S07T"
"(2010 QG2)","2051-2064","6","1.1e-5","12.89","24.3","0.047","-4.39","-4.40","0","bK10Q02G"
"(2016 HF3)","2078-2092","2","4.7e-5","7.93","24.8","0.038","-4.40","-4.40","0","bK16H03F"
"(2008 EZ84)","2072-2115","9","1.9e-4","7.91","26.2","0.020","-4.41","-4.71","0","bK08E84Z"
"(2011 BL45)","2050-2119","56","8.4e-4","1.68","27.1","0.013","-4.42","-4.57","0","bK11B45L"
"(2008 TE)","2023-2077","4","4.3e-5","11.84","27.7","0.010","-4.43","-4.43","0","bK08T00E"
"(2018 NJ)","2083-2116","17","1.6e-3","5.85","27.8","0.009","-4.43","-4.44","0","bK18N00J"
"(2011 EB74)","2032-2116","423","3.3e-4","7.54","26.9","0.014","-4.44","-5.40","0","bK11E74B"
"(2016 RD34)","2051-2094","21","6.8e-4","1.13","27.4","0.011","-4.44","-4.77","0","bK16R34D"
"(2018 TY4)","2033-2033","1","3.1e-4","10.67","28.1","0.008","-4.45","-4.45","0","bK18T04Y"
"(2017 AE21)","2021-2117","96","4.6e-6","5.14","25.0","0.034","-4.47","-5.01","0","bK17A21E"
"(2018 JD)","2067-2096","5","2.6e-4","8.01","26.7","0.016","-4.48","-4.48","0","bK18J00D"
"(2010 MY112)","2022-2092","28","1.1e-8","23.63","21.0","0.370","-4.49","-4.84","0","bK10MB2Y"
"(2012 BA77)","2025-2088","29","3.3e-5","12.70","25.9","0.023","-4.49","-5.01","0","bK12B77A"
"(2019 WG2)","2093-2119","37","4.3e-5","14.77","24.9","0.035","-4.51","-5.05","0","bK19W02G"
"(2012 MF7)","2046-2096","12","1.5e-4","8.70","26.8","0.015","-4.53","-4.57","0","bK12M07F"
"(2012 VE77)","2033-2035","2","2.6e-5","15.33","26.3","0.018","-4.54","-4.54","0","bK12V77E"
"(2018 DQ)","2027-2114","62","2.2e-4","20.85","29.1","0.005","-4.54","-4.58","0","bK18D00Q"
"(2013 GM3)","2028-2116","169","1.5e-4","7.14","26.2","0.019","-4.56","-5.31","0","bK13G03M"
"(2007 WP3)","2098-2114","17","7.7e-6","13.03","23.5","0.067","-4.60","-4.97","0","bK07W03P"
"(2006 HF6)","2053-2110","26","1.1e-5","16.39","24.5","0.043","-4.60","-5.15","0","bK06H06F"
"(2015 XA378)","2092-2119","22","5.2e-5","17.90","25.6","0.026","-4.60","-4.83","0","bK15Xb8A"
"(2020 XF)","2056-2120","148","3.6e-4","3.27","26.8","0.015","-4.60","-5.18","0","bK20X00F"
"(2017 SF20)","2034-2034","1","3.3e-4","10.44","28.4","0.007","-4.61","-4.61","0","bK17S20F"
"(2014 CR13)","2103-2117","20","9.1e-5","12.29","25.7","0.024","-4.62","-4.74","0","bK14C13R"
"(2018 GR4)","2058-2120","37","3.2e-4","2.60","27.1","0.013","-4.63","-4.68","0","bK18G04R"
"(2011 UM169)","2099-2107","19","3.3e-5","13.96","25.1","0.033","-4.65","-4.87","0","bK11UG9M"
"(2008 FF5)","2060-2060","1","4.8e-7","39.47","23.1","0.081","-4.66","-4.66","0","bK08F05F"
"(2011 SO189)","2056-2102","13","1.0e-4","12.99","26.5","0.017","-4.68","-5.04","0","bK11SI9O"
"(2016 DK1)","2043-2120","47","3.0e-4","6.87","27.4","0.011","-4.69","-5.11","0","bK16D01K"
"(2017 PY26)","2108-2117","6","1.2e-6","19.98","22.4","0.110","-4.69","-5.28","0","bK17P26Y"
"(2020 DJ1)","2083-2117","25","2.6e-5","14.00","24.9","0.036","-4.70","-4.93","0","bK20D01J"
"(2020 JK)","2071-2118","52","7.6e-6","18.59","24.1","0.052","-4.70","-5.67","0","bK20J00K"
"(2020 UE)","2042-2120","19","3.0e-5","14.58","25.5","0.026","-4.70","-5.14","0","bK20U00E"
"(2014 WA201)","2075-2084","8","1.6e-4","11.57","26.8","0.015","-4.71","-4.72","0","bK14WK1A"
"(2012 ES10)","2054-2064","7","1.6e-6","24.36","23.7","0.061","-4.71","-5.00","0","bK12E10S"
"(2007 HB15)","2047-2115","59","5.1e-4","6.34","27.8","0.010","-4.73","-4.91","0","bK07H15B"
"(2019 QR3)","2073-2088","19","2.4e-4","10.98","27.1","0.013","-4.73","-5.08","0","bK19Q03R"
"(2010 DG77)","2022-2117","563","7.4e-6","2.38","24.5","0.044","-4.74","-6.18","0","bK10D77G"
"(2017 VL2)","2087-2115","58","1.3e-4","8.33","26.1","0.021","-4.74","-5.36","0","bK17V02L"
"(1995 CS)","2042-2061","6","5.3e-6","25.44","25.4","0.028","-4.76","-4.78","0","bJ95C00S"
"(2008 PK9)","2045-2065","9","5.2e-7","26.64","23.2","0.078","-4.77","-5.11","0","bK08P09K"
"(2018 NW)","2046-2117","67","3.4e-4","21.14","27.8","0.009","-4.77","-5.37","0","bK18N00W"
"(2005 XA8)","2063-2086","21","3.6e-5","12.06","25.6","0.025","-4.78","-5.22","0","bK05X08A"
"(2014 YN)","2095-2115","23","1.1e-4","3.27","25.7","0.024","-4.78","-5.28","0","bK14Y00N"
"(2011 OB26)","2096-2117","36","5.3e-5","10.99","25.5","0.027","-4.79","-5.24","0","bK11O26B"
"(2011 CU46)","2028-2117","502","2.3e-5","16.00","25.4","0.028","-4.80","-6.02","0","bK11C46U"
"(2012 EK5)","2070-2111","14","3.3e-5","15.13","25.5","0.026","-4.80","-5.07","0","bK12E05K"
"(2017 YM1)","2048-2103","18","2.8e-5","11.08","25.2","0.031","-4.80","-5.00","0","bK17Y01M"
"(2019 TU)","2088-2119","11","8.9e-5","9.72","26.0","0.021","-4.80","-4.80","0","bK19T00U"
"(2011 XC2)","2056-2056","1","6.7e-7","20.75","23.0","0.085","-4.81","-4.81","0","bK11X02C"
"(2016 EO28)","2035-2054","19","5.8e-4","6.98","29.1","0.005","-4.82","-4.85","0","bK16E28O"
"(2020 DF3)","2067-2081","3","2.4e-6","26.80","24.2","0.050","-4.82","-5.12","0","bK20D03F"
"(2010 XN69)","2024-2116","142","6.9e-5","6.45","26.3","0.019","-4.83","-5.98","0","bK10X69N"
"(2011 VG9)","2104-2119","3","4.8e-7","24.87","22.2","0.120","-4.83","-4.99","0","bK11V09G"
"(2014 MV67)","2022-2025","2","6.3e-10","12.40","19.0","0.540","-4.83","-4.94","0","bK14M67V"
"(2018 LF16)","2023-2117","62","3.3e-8","15.13","21.0","0.213","-4.84","-5.33","0","bK18L16F"
"(2018 NL)","2060-2114","26","3.8e-5","8.30","25.4","0.029","-4.84","-5.37","0","bK18N00L"
"(2019 AU6)","2064-2103","13","9.6e-5","8.74","26.6","0.016","-4.84","-5.10","0","bK19A06U"
"(2002 VU17)","2084-2099","5","1.4e-5","13.69","24.8","0.038","-4.85","-5.29","0","bK02V17U"
"(2010 KV7)","2034-2115","48","3.9e-5","5.37","26.0","0.021","-4.85","-5.17","0","bK10K07V"
"(2017 RV2)","2071-2119","43","1.3e-4","6.48","26.2","0.019","-4.87","-5.39","0","bK17R02V"
"(2000 WJ107)","2114-2115","14","2.9e-6","12.78","23.1","0.081","-4.88","-5.58","0","bK00WA7J"
"(2005 NX55)","2022-2107","104","4.1e-8","25.07","21.9","0.141","-4.88","-5.60","0","bK05N55X"
"(2014 LY21)","2021-2116","969","8.3e-5","6.56","29.3","0.005","-4.88","-5.12","0","bK14L21Y"
"(2002 MN)","2070-2109","8","2.8e-6","10.37","23.3","0.073","-4.89","-5.25","0","bK02M00N"
"(2019 SJ)","2082-2119","16","4.5e-4","8.52","27.6","0.010","-4.89","-5.21","0","bK19S00J"
"(2019 WE)","2044-2078","8","7.0e-5","8.15","26.8","0.015","-4.91","-5.03","0","bK19W00E"
"(2020 YN)","2046-2047","4","9.1e-5","16.19","27.7","0.010","-4.91","-4.92","0","bK20Y00N"
"(2007 VE8)","2062-2062","1","2.0e-5","9.05","25.4","0.028","-4.93","-4.93","0","bK07V08E"
"(2020 HL1)","2055-2066","3","1.4e-5","9.44","25.3","0.030","-4.93","-5.06","0","bK20H01L"
"(2021 EJ3)","2078-2119","43","6.5e-4","2.16","27.7","0.010","-4.94","-5.37","0","bK21E03J"
"(2020 XE)","2040-2040","2","8.2e-6","24.11","26.3","0.019","-4.94","-4.95","0","bK20X00E"
"(2020 YA3)","2070-2102","9","3.7e-5","12.20","26.0","0.021","-4.94","-4.96","0","bK20Y03A"
"(2016 VB1)","2065-2119","68","1.3e-3","5.45","28.6","0.007","-4.95","-5.48","0","bK16V01B"
"(2019 WU2)","2086-2109","9","1.0e-5","11.53","24.6","0.041","-4.95","-5.06","0","bK19W02U"
"(2009 WP6)","2067-2114","53","4.0e-5","25.34","26.8","0.015","-4.96","-5.22","0","bK09W06P"
"(2020 XA6)","2057-2073","5","2.1e-6","20.69","24.1","0.052","-4.97","-5.37","0","bK20X06A"
"(2020 GZ2)","2049-2054","4","2.2e-4","9.54","28.1","0.008","-4.97","-4.97","0","bK20G02Z"
"(2014 ML67)","2023-2109","25","4.3e-7","21.17","24.2","0.050","-4.99","-5.19","0","bK14M67L"
"(1996 TC1)","2064-2072","3","1.3e-6","24.01","23.9","0.055","-5.00","-5.02","0","bJ96T01C"
"(2010 JH110)","2071-2102","5","7.5e-5","8.07","26.3","0.019","-5.01","-5.17","0","bK10JB0H"
"(2005 CC37)","2117-2117","1","1.9e-6","8.42","22.7","0.098","-5.01","-5.01","0","bK05C37C"
"(2013 EV27)","2038-2075","5","2.8e-5","12.37","27.0","0.014","-5.01","-5.01","0","bK13E27V"
"(2011 AE3)","2021-2117","616","5.8e-5","4.77","27.7","0.010","-5.01","-5.24","0","bK11A03E"
"(2010 XB73)","2023-2110","50","2.8e-7","5.98","22.5","0.110","-5.02","-5.68","0","bK10X73B"
"(2011 MX)","2070-2086","21","9.3e-5","12.15","26.9","0.014","-5.02","-5.34","0","bK11M00X"
"(2018 XQ2)","2065-2120","64","7.2e-4","3.81","28.1","0.008","-5.02","-5.51","0","bK18X02Q"
"(2020 US7)","2028-2120","260","1.9e-5","7.35","25.8","0.024","-5.02","-5.62","0","bK20U07S"
"(2020 JS1)","2022-2109","31","9.1e-6","5.22","26.3","0.018","-5.02","-5.06","0","bK20J01S"
"(2006 CM10)","2092-2092","1","1.8e-7","22.34","21.7","0.150","-5.03","-5.03","0","bK06C10M"
"(2010 VQ)","2034-2114","50","1.4e-4","4.57","27.7","0.010","-5.03","-5.24","0","bK10V00Q"
"(2006 JE)","2094-2112","5","1.8e-6","26.35","23.8","0.058","-5.04","-5.10","0","bK06J00E"
"(2014 MA68)","2021-2116","389","1.6e-5","4.96","25.9","0.022","-5.04","-5.56","0","bK14M68A"
"(2004 VM24)","2049-2114","28","2.3e-5","12.86","25.7","0.025","-5.05","-5.62","0","bK04V24M"
"(2011 CW46)","2021-2115","100","5.0e-7","16.62","24.7","0.039","-5.05","-5.10","0","bK11C46W"
"(2012 SY49)","2031-2114","23","1.2e-5","15.65","25.8","0.023","-5.05","-5.42","0","bK12S49Y"
"(2000 LG6)","2075-2115","38","1.9e-3","2.11","29.0","0.005","-5.06","-5.46","0","bK00L06G"
"(2020 XV6)","2099-2099","1","2.8e-7","34.37","22.7","0.099","-5.07","-5.07","0","bK20X06V"
"(2010 VW194)","2042-2116","35","7.1e-5","7.31","26.5","0.017","-5.08","-5.63","0","bK10VJ4W"
"(2019 JO1)","2044-2052","4","4.1e-5","18.23","27.3","0.012","-5.08","-5.10","0","bK19J01O"
"(2006 CD)","2021-2116","47","2.1e-8","11.28","20.9","0.223","-5.09","-5.61","0","bK06C00D"
"(2017 QC36)","2024-2119","61","4.8e-7","4.62","23.1","0.083","-5.11","-5.40","0","bK17Q36C"
"(2020 KN2)","2063-2120","11","4.0e-5","7.88","26.4","0.018","-5.11","-5.12","0","bK20K02N"
"(2020 VB5)","2037-2037","1","3.4e-5","16.92","27.7","0.010","-5.13","-5.13","0","bK20V05B"
"(2007 CC27)","2067-2105","34","7.7e-5","10.88","26.9","0.014","-5.13","-5.65","0","bK07C27C"
"(2017 GG8)","2066-2078","4","2.4e-5","11.46","26.1","0.021","-5.13","-5.17","0","bK17G08G"
"(1994 GV)","2036-2116","48","1.6e-4","8.09","27.5","0.011","-5.14","-5.69","0","bJ94G00V"
"(2009 TH8)","2097-2100","3","8.9e-6","13.03","24.9","0.036","-5.14","-5.19","0","bK09T08H"
"(2020 BW5)","2046-2110","10","2.5e-5","8.67","26.4","0.018","-5.14","-5.19","0","bK20B05W"
"(2004 PU42)","2071-2115","26","7.6e-5","10.12","26.8","0.015","-5.15","-5.87","0","bK04P42U"
"(2007 DS7)","2048-2114","23","2.1e-5","12.38","25.9","0.023","-5.17","-5.38","0","bK07D07S"
"(2009 FZ4)","2021-2116","396","2.4e-6","10.13","25.2","0.031","-5.17","-5.89","0","bK09F04Z"
"(2010 JL88)","2049-2116","82","5.7e-5","14.87","26.8","0.015","-5.17","-5.85","0","bK10J88L"
"(2010 UJ)","2022-2109","111","1.1e-5","2.92","26.3","0.019","-5.17","-5.47","0","bK10U00J"
"(2016 NL39)","2055-2120","74","2.5e-4","3.94","27.6","0.010","-5.18","-5.94","0","bK16N39L"
"(2021 EM)","2102-2102","1","7.5e-6","8.10","24.4","0.044","-5.18","-5.18","0","bK21E00M"
"(2020 VN1)","2082-2116","17","5.2e-4","2.95","27.9","0.009","-5.18","-5.42","0","bK20V01N"
"(1999 RZ31)","2056-2056","2","1.6e-6","8.20","23.8","0.059","-5.19","-5.25","0","bJ99R31Z"
"(2013 BL18)","2070-2092","5","2.1e-5","14.19","26.0","0.022","-5.19","-5.33","0","bK13B18L"
"(2014 UD57)","2076-2115","6","2.9e-5","8.72","25.8","0.023","-5.19","-5.32","0","bK14U57D"
"(2008 YO2)","2052-2109","29","7.6e-6","16.49","25.2","0.031","-5.20","-5.76","0","bK08Y02O"
"(2010 MZ112)","2029-2117","193","4.7e-6","1.80","25.3","0.032","-5.20","-6.52","0","bK10MB2Z"
"(2020 CO2)","2048-2118","25","3.6e-5","15.78","26.7","0.016","-5.20","-5.41","0","bK20C02O"
"(2018 YH2)","2024-2119","104","3.3e-7","9.71","23.1","0.082","-5.20","-5.80","0","bK18Y02H"
"(2001 BA16)","2033-2052","5","9.9e-6","4.90","25.8","0.023","-5.21","-5.24","0","bK01B16A"
"(2014 JR24)","2069-2115","34","1.2e-3","3.72","29.3","0.005","-5.21","-5.25","0","bK14J24R"
"(2017 NT5)","2050-2115","6","5.8e-7","20.15","22.9","0.090","-5.21","-5.65","0","bK17N05T"
"(2020 CD3)","2061-2118","24","2.2e-2","NaN","31.7","0.002","-5.21","-5.54","0","bK20C03D"
"(2011 AM37)","2048-2117","76","1.2e-3","3.65","29.7","0.004","-5.22","-5.34","0","bK11A37M"
"(2017 SA20)","2027-2120","509","4.3e-4","5.87","28.4","0.007","-5.22","-6.39","0","bK17S20A"
"(2013 WM)","2047-2105","2","4.3e-7","35.43","23.9","0.055","-5.23","-5.39","0","bK13W00M"
"(2006 BC8)","2050-2112","20","9.5e-6","13.16","25.1","0.032","-5.23","-5.54","0","bK06B08C"
"(2008 ST)","2047-2116","23","1.6e-4","3.24","27.1","0.013","-5.23","-5.52","0","bK08S00T"
"(2006 QN111)","2079-2079","1","1.9e-6","10.55","23.8","0.060","-5.24","-5.24","0","bK06QB1N"
"(2018 CM)","2063-2120","14","1.6e-4","9.50","27.8","0.009","-5.24","-5.33","0","bK18C00M"
"(2019 DP)","2073-2120","18","1.2e-5","8.79","24.9","0.035","-5.24","-5.96","0","bK19D00P"
"(2009 FJ)","2058-2117","15","9.4e-6","8.92","24.9","0.036","-5.25","-5.65","0","bK09F00J"
"(2009 BR5)","2059-2078","2","1.7e-7","17.97","22.1","0.130","-5.26","-5.26","0","bK09B05R"
"(2014 HN197)","2027-2118","57","6.5e-8","7.43","21.2","0.194","-5.26","-6.17","0","bK14HJ7N"
"(2008 KO)","2049-2061","3","7.8e-7","23.49","24.4","0.045","-5.29","-5.61","0","bK08K00O"
"(2011 BG10)","2051-2074","4","1.3e-5","12.30","26.3","0.019","-5.29","-5.55","0","bK11B10G"
"(2005 EL70)","2034-2034","1","1.3e-7","35.53","24.1","0.052","-5.29","-5.29","0","bK05E70L"
"(2019 XV)","2056-2116","20","1.4e-3","1.33","29.2","0.005","-5.29","-5.93","0","bK19X00V"
"(2005 TM173)","2021-2116","146","9.4e-7","8.66","24.1","0.051","-5.31","-6.23","0","bK05TH3M"
"(2005 WG57)","2029-2104","7","7.2e-7","9.88","23.6","0.063","-5.31","-5.46","0","bK05W57G"
"(2021 DR)","2046-2120","86","1.9e-4","3.44","27.8","0.009","-5.31","-5.64","0","bK21D00R"
"(2020 BK3)","2091-2105","6","6.3e-5","10.38","26.9","0.014","-5.31","-5.32","0","bK20B03K"
"(2007 UO6)","2031-2113","13","2.0e-5","11.68","27.4","0.011","-5.32","-5.57","0","bK07U06O"
"(2010 HV20)","2116-2116","2","1.3e-7","24.74","21.9","0.140","-5.32","-5.36","0","bK10H20V"
"(2020 OR4)","2093-2117","15","7.9e-6","21.38","25.6","0.025","-5.32","-5.62","0","bK20O04R"
"(2021 EL3)","2088-2121","132","7.8e-4","5.40","28.8","0.006","-5.33","-5.82","0","bK21E03L"
"(2017 AY20)","2021-2021","1","2.4e-10","19.79","20.1","0.330","-5.33","-5.33","0","bK17A20Y"
"(2009 FG)","2022-2112","30","7.9e-6","9.12","25.5","0.027","-5.34","-5.92","0","bK09F00G"
"(2018 TP5)","2074-2105","23","1.6e-5","10.86","25.8","0.024","-5.34","-5.87","0","bK18T05P"
"(2015 KG158)","2045-2111","36","2.4e-4","7.69","28.3","0.007","-5.34","-5.40","0","bK15KF8G"
"(2018 GE2)","2060-2117","44","8.1e-5","6.11","27.0","0.013","-5.34","-5.83","0","bK18G02E"
"(2002 TY59)","2084-2114","5","1.7e-5","8.22","25.4","0.028","-5.35","-5.53","0","bK02T59Y"
"(2007 EV)","2088-2117","9","8.8e-6","10.59","25.0","0.033","-5.36","-5.80","0","bK07E00V"
"(2011 BT59)","2052-2119","3","8.6e-9","37.60","20.9","0.220","-5.36","-5.39","0","bK11B59T"
"(2008 VS4)","2021-2114","308","5.8e-7","9.51","24.2","0.049","-5.37","-6.30","0","bK08V04S"
"(2018 PZ21)","2045-2119","18","3.8e-5","6.30","26.7","0.016","-5.37","-5.44","0","bK18P21Z"
"(2012 BY1)","2043-2074","7","4.0e-6","18.19","25.8","0.024","-5.38","-5.56","0","bK12B01Y"
"(2009 OW6)","2080-2115","2","1.2e-5","6.65","25.3","0.029","-5.39","-5.55","0","bK09O06W"
"(2019 HS3)","2055-2083","7","1.0e-5","26.19","26.9","0.014","-5.39","-5.45","0","bK19H03S"
"(2016 RR1)","2063-2113","26","2.1e-4","6.75","27.8","0.009","-5.39","-5.71","0","bK16R01R"
"(2020 UC)","2053-2117","56","1.2e-4","7.57","27.6","0.010","-5.39","-5.96","0","bK20U00C"
"(2018 JN)","2100-2120","4","1.2e-5","7.76","25.1","0.033","-5.39","-5.54","0","bK18J00N"
"(2018 VS6)","2083-2118","17","4.7e-5","11.80","26.9","0.014","-5.40","-5.59","0","bK18V06S"
"(2015 BW516)","2052-2061","4","5.8e-5","11.48","27.7","0.010","-5.40","-5.75","0","bK15Bp6W"
"(2020 BY4)","2055-2117","13","8.4e-6","20.43","26.1","0.020","-5.40","-5.79","0","bK20B04Y"
"(2020 DK)","2089-2119","21","2.2e-5","10.44","26.0","0.021","-5.40","-6.17","0","bK20D00K"
"(2020 HQ4)","2051-2119","47","7.3e-5","3.52","27.0","0.014","-5.40","-6.07","0","bK20H04Q"
"(2010 GH7)","2099-2117","56","1.4e-4","5.05","27.3","0.012","-5.41","-5.91","0","bK10G07H"
"(2020 WG5)","2086-2120","14","1.7e-4","5.95","27.7","0.010","-5.41","-5.50","0","bK20W05G"
"(2016 DA31)","2031-2117","189","2.9e-4","13.74","29.9","0.004","-5.41","-5.70","0","bK16D31A"
"(2004 GE2)","2106-2109","2","6.5e-8","20.57","21.4","0.180","-5.42","-5.51","0","bK04G02E"
"(2005 VN5)","2047-2115","23","5.0e-5","6.57","27.0","0.014","-5.42","-5.87","0","bK05V05N"
"(2012 DJ54)","2068-2119","47","3.4e-4","5.43","28.5","0.007","-5.42","-5.72","0","bK12D54J"
"(2016 BA15)","2054-2108","16","1.7e-5","15.88","26.8","0.015","-5.42","-5.54","0","bK16B15A"
"(2005 AU3)","2081-2117","30","1.5e-5","14.39","26.0","0.021","-5.43","-6.09","0","bK05A03U"
"(2011 SM173)","2058-2112","10","5.6e-5","14.25","27.8","0.009","-5.43","-5.47","0","bK11SH3M"
"(2016 LP10)","2023-2115","28","1.1e-4","15.57","29.5","0.004","-5.44","-5.56","0","bK16L10P"
"(2019 SX)","2048-2116","58","4.9e-4","14.43","29.5","0.004","-5.44","-5.65","0","bK19S00X"
"(2020 GB1)","2049-2116","16","2.8e-5","8.28","26.9","0.014","-5.45","-5.57","0","bK20G01B"
"(2020 GA3)","2054-2119","17","4.5e-6","16.87","25.1","0.033","-5.45","-5.81","0","bK20G03A"
"(2004 ME6)","2023-2105","44","1.0e-7","12.16","22.6","0.103","-5.46","-6.24","0","bK04M06E"
